iter	Logloss
0	0.6616045895
1	0.6339338349
2	0.6076351479
3	0.5836821017
4	0.5639593003
5	0.5443487463
6	0.5262154685
7	0.5105190426
8	0.4966539295
9	0.4834307689
10	0.4708893841
11	0.4586362111
12	0.4469730819
13	0.4370436566
14	0.427541345
15	0.4199270988
16	0.4119064698
17	0.4043596816
18	0.3985097092
19	0.3938332058
20	0.3885619501
21	0.3838315037
22	0.3794306251
23	0.3750780642
24	0.3717245809
25	0.3689457328
26	0.3662311634
27	0.363871535
28	0.3611068979
29	0.3588005443
30	0.356560999
31	0.3537734464
32	0.3513703832
33	0.3490225888
34	0.347377755
35	0.3451721508
36	0.3432908007
37	0.3415796747
38	0.3400177315
39	0.3383878643
40	0.3371978727
41	0.335992144
42	0.3345658673
43	0.3332424624
44	0.3320911693
45	0.3306243043
46	0.329353099
47	0.3285086894
48	0.3276965203
49	0.3268057918
50	0.3257512447
51	0.3248665089
52	0.3238147643
53	0.3226824033
54	0.3217405402
55	0.3208006447
56	0.3202366461
57	0.3194839977
58	0.3187252085
59	0.3180426114
60	0.3175200287
61	0.3168851032
62	0.3162731685
63	0.3158751904
64	0.3155300229
65	0.3150766554
66	0.3145809114
67	0.314125257
68	0.3135632956
69	0.3131827863
70	0.3128284758
71	0.3124152759
72	0.3119493108
73	0.3114933194
74	0.3111699519
75	0.3108685983
76	0.3105182895
77	0.3102556415
78	0.3096988055
79	0.3090986872
80	0.3088130866
81	0.3085039492
82	0.3082264813
83	0.3078388939
84	0.3073546273
85	0.3071200313
86	0.3068847632
87	0.3063400069
88	0.305974596
89	0.3057250725
90	0.3055412542
91	0.3051351179
92	0.3049225094
93	0.304642158
94	0.3043341578
95	0.3039546115
96	0.3036382229
97	0.303333297
98	0.3033149773
99	0.3031886006
100	0.3026931134
101	0.3024791342
102	0.3022130521
103	0.30201104
104	0.3017853096
105	0.3014795361
106	0.3009463621
107	0.3007632732
108	0.3005974401
109	0.300286979
110	0.3001451579
111	0.2999890109
112	0.2996139824
113	0.299480327
114	0.2993630978
115	0.2991413121
116	0.298992659
117	0.2987730548
118	0.2986015737
119	0.2984699748
120	0.2982903274
121	0.2981919235
122	0.2976548286
123	0.2975280038
124	0.2973647095
125	0.2971576196
126	0.2970450547
127	0.2968997784
128	0.296699326
129	0.2965452451
130	0.2963453759
131	0.2960131423
132	0.2958594826
133	0.2957001122
134	0.2955714684
135	0.2954712833
136	0.2953081
137	0.2951930091
138	0.2950076582
139	0.2948763414
140	0.2947086795
141	0.2944863314
142	0.2942227197
143	0.2941172797
144	0.2935503721
145	0.2933664408
146	0.2931980958
147	0.2930733919
148	0.2929818659
149	0.2927470051
150	0.2926612338
151	0.292558974
152	0.2924435355
153	0.292264662
154	0.2921478245
155	0.2920751728
156	0.2919985632
157	0.2918555795
158	0.2914678094
159	0.2914016423
160	0.291310437
161	0.2911996963
162	0.2911322392
163	0.2910328476
164	0.2909007516
165	0.2907779677
166	0.2907094035
167	0.2906060612
168	0.2903620858
169	0.2902632877
170	0.2902029477
171	0.2901060362
172	0.28999748
173	0.2898222696
174	0.2897292439
175	0.289611863
176	0.2892678428
177	0.2891025689
178	0.2889765724
179	0.2887307831
180	0.2885657589
181	0.2885121791
182	0.2884072761
183	0.2882844364
184	0.287867006
185	0.2878020396
186	0.2877329308
187	0.2876317069
188	0.2874750224
189	0.2873668038
190	0.2872750873
191	0.2871306077
192	0.2869867287
193	0.2868926855
194	0.2868129697
195	0.2863371817
196	0.2862552956
197	0.2861928683
198	0.2858423387
199	0.2856382311
